sample_id	q	d	d_sd	d_lower	d_upper	e	e_lower	e_upper	subject_id
P05_FNA_0_Y1	0	132.37	4.76725640891506	123.026349133459	141.713650866541	1	0.929412624714503	1.0705873752855	P05
P05_FNA_0_Y1	0.1	131.102655948765	4.86357006918996	121.570233776866	140.635078120664	0.990425745627899	0.918412282064408	1.06243920919139	P05
P05_FNA_0_Y1	0.2	129.799806143662	4.96206504206852	120.074337372262	139.525274915061	0.980583260131916	0.907111410230884	1.05405511003295	P05
P05_FNA_0_Y1	0.3	128.461853180691	5.0628167321375	118.538914725375	138.384791636007	0.970475584956495	0.895511934164652	1.04543923574834	P05
P05_FNA_0_Y1	0.4	127.089416148668	5.16590471935766	116.964428951162	137.214403346175	0.960107397058763	0.883617352505567	1.03659744161196	P05
P05_FNA_0_Y1	0.5	125.683348143527	5.27141052352003	115.351573369702	136.015122917351	0.949485141221778	0.871432902996918	1.02753737944664	P05
P05_FNA_0_Y1	0.6	124.244752114257	5.37941454438852	113.701293349344	134.788210879169	0.938617149763971	0.85896572750128	1.01826857202666	P05
P05_FNA_0_Y1	0.7	122.774994332539	5.48999214103982	112.014807460693	133.535181204385	0.927513744296586	0.846225031810025	1.00880245678315	P05
P05_FNA_0_Y1	0.8	121.275714729315	5.60320886604678	110.293627154008	132.257802304622	0.916187313812155	0.83322223429786	0.99915239332645	P05
P05_FNA_0_Y1	0.9	119.748833321211	5.71911493294869	108.539574029186	130.958092613236	0.904652363233443	0.819971096390317	0.98933363007657	P05
P05_FNA_0_Y1	1	118.19811613239	5.83761907967032	106.756592980773	129.639639284008	0.892937343298258	0.806501420116134	0.979373266480381	P05
P05_FNA_0_Y1	1.1	116.621350750544	5.95908193694882	104.941764773202	128.300936727887	0.881025540156715	0.792791151871281	0.969259928442149	P05
P05_FNA_0_Y1	1.2	115.025978415581	6.0831095004439	103.103302880698	126.948653950465	0.868973169264798	0.778902341019097	0.959043997510499	P05
P05_FNA_0_Y1	1.3	113.413436406817	6.20974649573742	101.242556922048	125.584315891586	0.856791088666743	0.764845183365171	0.948736993968316	P05
P05_FNA_0_Y1	1.4	111.786956330376	6.3388705235308	99.3629984015935	124.210914259159	0.844503711795546	0.750645904673215	0.938361518917877	P05
P05_FNA_0_Y1	1.5	110.149970870557	6.47030702125333	97.4684021399834	122.83153960113	0.832136971145702	0.7363330221348	0.927940920156605	P05
P05_FNA_0_Y1	1.6	108.506078508077	6.60382548956533	95.5628183883414	121.449338627813	0.819718051734359	0.721937133703569	0.917498969765148	P05
P05_FNA_0_Y1	1.7	106.859002685767	6.73913727564936	93.6505363386232	120.067469032911	0.80727508261515	0.70749064243124	0.907059522799059	P05
P05_FNA_0_Y1	1.8	105.212546368228	6.87589517206173	91.7360394695142	118.689053266942	0.794836793595437	0.693027419124531	0.896646168066343	P05
P05_FNA_0_Y1	1.9	103.570543213571	7.013695030331	89.8239535555747	117.317132871567	0.782432146359228	0.678582409575996	0.886281883142459	P05
P05_FNA_0_Y1	2	101.936806796049	7.15207951819104	87.918988525828	115.95462506627	0.77008995086537	0.664191195329969	0.875988706400771	P05
P05_FNA_0_Y1	2.1	100.315079468409	7.29054406603022	86.0258756712875	114.60428326553	0.757838479024016	0.649889519311683	0.865787438736348	P05
P05_FNA_0_Y1	2.2	98.7089825172296	7.42854494835293	84.1493019609209	113.268663073538	0.745705088141041	0.635712789611852	0.855697386670229	P05
P05_FNA_0_Y1	2.3	97.1219692350191	7.565509328094	82.293843427253	111.950095042785	0.733715866397364	0.621695576242751	0.845736156551976	P05
P05_FNA_0_Y1	2.4	95.5572824089538	7.70084695887383	80.4638997191063	110.650665098801	0.721895311694143	0.607871116711538	0.835919506676749	P05
P05_FNA_0_Y1	2.5	94.0179175153977	7.83396310322093	78.6636319768691	109.372203053926	0.710266053602763	0.594270846693881	0.826261260511645	P05
P05_FNA_0_Y1	2.6	92.506592626871	7.96427210065721	76.8969061465057	108.116279107236	0.69884862602456	0.580923971795012	0.816773280254108	P05
P05_FNA_0_Y1	2.7	91.0257257052195	8.09121092915339	75.167243692762	106.884207717677	0.687661295650219	0.567857095208597	0.807465496091841	P05
P05_FNA_0_Y1	2.8	89.577419596775	8.21425206606675	73.4777813873505	105.6770578062	0.67671994860448	0.555093913933297	0.798345983275663	P05
P05_FNA_0_Y1	2.9	88.1634546891563	8.33291498250857	71.8312414372053	104.495667941107	0.66603803497134	0.542654993104217	0.789421076838463	P05
P05_FNA_0_Y1	3	86.7852888606359	8.44677569952781	70.2299127040733	103.340665017199	0.655626568411543	0.530557624114779	0.780695512708306	P05
P05_FNA_0_Y1	3.1	85.4440640732743	8.55547398508754	68.6756431918334	102.212484954715	0.645494175970947	0.51881576786155	0.772172584080345	P05
P05_FNA_0_Y1	3.2	84.1406187458714	8.65871795746487	67.16984339695	101.111394094793	0.635647191553006	0.507440080055526	0.763854303050485	P05
P05_FNA_0_Y1	3.3	82.8755049004889	8.75628605821187	65.7134995880635	100.037510212914	0.626089785453569	0.496438011543881	0.755741559363258	P05
P05_FNA_0_Y1	3.4	81.6490090077251	8.8480265412028	64.3071956527131	98.990822362737	0.616824121838219	0.485813973352822	0.747834270323616	P05
P05_FNA_0_Y1	3.5	80.4611754553152	8.93385477349231	62.9511418561591	97.9712090544714	0.607850536037737	0.475569553948471	0.740131518127003	P05
P05_FNA_0_Y1	3.6	79.3118316212432	9.01374874645987	61.6452087124888	96.9784545299976	0.599167723964971	0.4657037751189	0.732631672811042	P05
